key_id,key_name,flavor_group,w_name,keywine_count
195,green apple,tree_fruit,V.P Extra Brut Champagne Grand Cru 'Ambonnay',26
195,green apple,tree_fruit,Toscana Bianco,16
195,green apple,tree_fruit,Scharzhofberger Riesling Kabinett,36
195,green apple,tree_fruit,Sauternes,13
195,green apple,tree_fruit,Puligny-Montrachet Premier Cru ' Clos de la Truffière',17
195,green apple,tree_fruit,One Sixteen Chardonnay,43
195,green apple,tree_fruit,Clos de la Coulée de Serrant,14
195,green apple,tree_fruit,Clos Sainte Hune Riesling Alsace,36
195,green apple,tree_fruit,Brut Champagne (Gold),28
195,green apple,tree_fruit,Blanc de Blancs Brut Champagne (Vintage),62
195,green apple,tree_fruit,Beyond the Clouds,13
195,green apple,tree_fruit,Belondrade y Lurton,27
195,green apple,tree_fruit,Belle Epoque Brut Champagne,224
195,green apple,tree_fruit,Aile d'Argent Blanc Bordeaux,12
195,green apple,tree_fruit,5 Puttonyos Aszú (Blue Label),12
117,coffee,oak,d'Alceo,12
117,coffee,oak,Yarden Katzrin,17
117,coffee,oak,Vürsù Barolo Campè,13
117,coffee,oak,Vürsù Barbaresco Starderi,16
117,coffee,oak,Viña El Pison,13
117,coffee,oak,Vintage Port,17
117,coffee,oak,Vin Santo di Montepulciano Occhio di Pernice,15
117,coffee,oak,Vigne Vecchie Gold Series Leggenda Primitivo di Manduria,17
117,coffee,oak,Vigna Cappella di S. Stefano Perno Barolo,15
117,coffee,oak,Victorino,39
117,coffee,oak,Veneto Rosso del Bepi,15
117,coffee,oak,Veneto Alzero Cabernet,15
117,coffee,oak,Vecchie Vigne Brunello di Montalcino,12
117,coffee,oak,Valpolicella Superiore Monte Lodoletta,61
117,coffee,oak,Valpolicella Classico Superiore,36
117,coffee,oak,Valbuena 5º,122
117,coffee,oak,VIK,11
117,coffee,oak,Unico Reserva Especial Edición,20
117,coffee,oak,Unico,117
117,coffee,oak,Turriga Isola dei Nuraghi,36
117,coffee,oak,Trebbiano d'Abruzzo,21
117,coffee,oak,Trasnocho,11
117,coffee,oak,Toscana Rosso,14
117,coffee,oak,Toscana I Sodi di San Niccolo,21
117,coffee,oak,Toscana Camartina,13
117,coffee,oak,Toscana,43
117,coffee,oak,Torre Muga,32
117,coffee,oak,Toro,184
117,coffee,oak,Tinto,43
117,coffee,oak,Tignanello,271
117,coffee,oak,The Armagh Shiraz,18
117,coffee,oak,Tenuta Tignanello 'Solaia',100
117,coffee,oak,Tenuta Nuova Brunello di Montalcino,65
117,coffee,oak,Tenuta Guado al Tasso Bolgheri Superiore,117
117,coffee,oak,TD9,56
117,coffee,oak,St. Henri Shiraz,65
117,coffee,oak,Sperss Barolo,13
117,coffee,oak,Special Selection Cabernet Sauvignon,81
117,coffee,oak,Sorì San Lorenzo,12
117,coffee,oak,Solare Toscana,31
117,coffee,oak,Siepi,35
117,coffee,oak,Series M,11
117,coffee,oak,Series C,25
117,coffee,oak,Scrio,16
117,coffee,oak,Sauternes (Premier Grand Cru Classé),16
117,coffee,oak,Sassicaia,179
117,coffee,oak,Saperavi,14
117,coffee,oak,San Vicente Rioja,38
117,coffee,oak,Saint-Émilion Grand Cru (Premier Grand Cru Classé),33
117,coffee,oak,Saint-Émilion Grand Cru (Grand Cru Classé),15
117,coffee,oak,Saint-Émilion Grand Cru,69
117,coffee,oak,Saint-Julien (Grand Cru Classé),102
117,coffee,oak,Saint-Estèphe (Grand Cru Classé),94
117,coffee,oak,Saint-Emilion Grand Cru (Premier Grand Cru Classé),13
117,coffee,oak,Saffredi,33
117,coffee,oak,S.L.V. Cabernet Sauvignon,38
117,coffee,oak,Rutherford,15
117,coffee,oak,Rubicon,23
117,coffee,oak,Roda I Reserva Rioja,69
117,coffee,oak,Rioja Reserva,28
117,coffee,oak,Ribera del Duero Reserva,42
117,coffee,oak,Ribera del Duero,192
117,coffee,oak,Reserve Pinotage,15
117,coffee,oak,Reserva Ribera del Duero,26
117,coffee,oak,Relentless,22
117,coffee,oak,Redigaffi Toscana,24
117,coffee,oak,Red,13
117,coffee,oak,Recioto della Valpolicella Classico,13
117,coffee,oak,Primitivo di Manduria,11
